swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
0.4,56,2014,05,04,NV,6,1243,56.0,-55.6,56.0,-55.6,0
0.4,50,2014,05,05,NV,6,1243,50.0,-49.6,50.0,-49.6,0
0.6,36,2014,05,06,NV,6,1243,36.0,-35.4,36.0,-35.4,0
1.1,38,2014,05,07,NV,6,1243,38.0,-36.9,38.0,-36.9,0
0.8,44,2014,05,08,NV,6,1243,44.0,-43.2,44.0,-43.2,0
0.7,45,2014,05,09,NV,6,1243,45.0,-44.3,45.0,-44.3,0
0.6,36,2014,05,10,NV,6,1243,36.0,-35.4,36.0,-35.4,0
1.0,40,2014,05,11,NV,6,1243,40.0,-39.0,40.0,-39.0,0
0.6,42,2014,05,12,NV,6,1243,42.0,-41.4,42.0,-41.4,0
0.5,47,2014,05,13,NV,6,1243,47.0,-46.5,47.0,-46.5,0
1.0,19,2015,01,01,NV,6,1243,25.5,-24.5,24.0,-23.0,0
1.0,26,2015,01,02,NV,6,1243,26.5,-25.5,24.0,-23.0,0
1.1,32,2015,01,03,NV,6,1243,32.2,-31.1,30.5,-29.4,0
1.2,38,2015,01,04,NV,6,1243,34.0,-32.8,33.5,-32.3,0
1.2,44,2015,01,05,NV,6,1243,32.2,-31.0,33.5,-32.3,0
1.0,45,2015,01,06,NV,6,1243,31.0,-30.0,32.5,-31.5,0
0.9,46,2015,01,07,NV,6,1243,34.8,-33.9,36.0,-35.1,0
0.7,43,2015,01,08,NV,6,1243,35.7,-35.0,35.5,-34.8,0
0.6,41,2015,01,09,NV,6,1243,34.8,-34.2,37.5,-36.9,0
0.6,40,2015,01,10,NV,6,1243,33.8,-33.2,35.5,-34.9,0
0.6,39,2015,01,11,NV,6,1243,32.7,-32.1,35.5,-34.9,0
0.6,33,2015,01,12,NV,6,1243,30.0,-29.4,29.5,-28.9,0
1.1,31,2015,01,13,NV,6,1243,29.2,-28.1,31.0,-29.9,0
1.1,31,2015,01,14,NV,6,1243,28.6,-27.5,28.0,-26.9,0
1.1,34,2015,01,15,NV,6,1243,32.2,-31.1,31.5,-30.4,0
1.2,39,2015,01,16,NV,6,1243,33.3,-32.1,36.5,-35.3,0
1.2,39,2015,01,17,NV,6,1243,34.5,-33.3,37.5,-36.3,0
1.2,46,2015,01,18,NV,6,1243,37.7,-36.5,37.0,-35.8,0
1.0,40,2015,01,19,NV,6,1243,35.7,-34.7,35.5,-34.5,0
0.6,30,2015,01,20,NV,6,1243,31.7,-31.1,30.5,-29.9,0
0.6,28,2015,01,21,NV,6,1243,29.7,-29.1,28.5,-27.9,0
0.6,32,2015,01,22,NV,6,1243,30.5,-29.9,31.0,-30.4,0
0.6,36,2015,01,23,NV,6,1243,32.3,-31.7,33.0,-32.4,0
0.6,40,2015,01,24,NV,6,1243,32.3,-31.7,33.5,-32.9,0
0.6,44,2015,01,25,NV,6,1243,32.0,-31.4,32.0,-31.4,0
0.6,47,2015,01,26,NV,6,1243,32.3,-31.7,31.5,-30.9,0
0.6,39,2015,01,27,NV,6,1243,32.7,-32.1,35.5,-34.9,0
1.0,38,2015,01,28,NV,6,1243,34.2,-33.2,36.5,-35.5,0
1.0,38,2015,01,29,NV,6,1243,36.2,-35.2,39.0,-38.0,0
1.0,37,2015,01,30,NV,6,1243,35.2,-34.2,34.5,-33.5,0
1.0,35,2015,01,31,NV,6,1243,34.2,-33.2,35.0,-34.0,0
1.0,39,2015,02,01,NV,6,1243,33.5,-32.5,38.5,-37.5,0
1.0,43,2015,02,02,NV,6,1243,33.8,-32.8,37.5,-36.5,0
0.7,44,2015,02,03,NV,6,1243,33.7,-33.0,36.0,-35.3,0
0.7,47,2015,02,04,NV,6,1243,34.8,-34.1,35.5,-34.8,0
0.7,48,2015,02,05,NV,6,1243,34.2,-33.5,34.5,-33.8,0
0.6,49,2015,02,06,NV,6,1243,34.3,-33.7,34.5,-33.9,0
0.4,48,2015,02,07,NV,6,1243,36.0,-35.6,38.0,-37.6,0
0.4,48,2015,02,08,NV,6,1243,39.3,-38.9,41.5,-41.1,0
0.3,42,2015,02,09,NV,6,1243,39.2,-38.9,40.0,-39.7,0
0.3,37,2015,02,10,NV,6,1243,34.0,-33.7,36.0,-35.7,0
0.3,40,2015,02,11,NV,6,1243,33.2,-32.9,34.0,-33.7,0
0.3,46,2015,02,12,NV,6,1243,35.7,-35.4,36.5,-36.2,0
0.2,50,2015,02,13,NV,6,1243,37.7,-37.5,37.5,-37.3,0
0.2,50,2015,02,14,NV,6,1243,40.2,-40.0,38.5,-38.3,0
0.2,40,2015,02,25,NV,6,1243,35.2,-35.0,40.0,-39.8,0
0.2,32,2015,02,26,NV,6,1243,33.6,-33.4,32.0,-31.8,0
0.5,32,2015,02,27,NV,6,1243,33.2,-32.7,32.0,-31.5,0
0.6,30,2015,02,28,NV,6,1243,32.8,-32.2,30.0,-29.4,0
0.9,32,2015,03,01,NV,6,1243,32.8,-31.9,33.0,-32.1,0
0.9,31,2015,03,02,NV,6,1243,30.8,-29.9,30.5,-29.6,0
1.0,27,2015,03,03,NV,6,1243,30.3,-29.3,28.5,-27.5,0
1.1,31,2015,03,04,NV,6,1243,32.0,-30.9,31.0,-29.9,0
1.1,37,2015,03,05,NV,6,1243,31.0,-29.9,32.5,-31.4,0
0.9,43,2015,03,06,NV,6,1243,32.5,-31.6,32.0,-31.1,0
0.5,31,2015,04,08,NV,6,1243,45.3,-44.8,52.0,-51.5,0
1.1,39,2015,04,09,NV,6,1243,41.0,-39.9,38.0,-36.9,0
0.4,46,2015,04,10,NV,6,1243,43.7,-43.3,46.0,-45.6,0
3.8,13,2016,01,01,NV,6,1243,25.5,-21.7,24.0,-20.2,0
3.8,17,2016,01,02,NV,6,1243,26.5,-22.7,24.0,-20.2,0
3.7,29,2016,01,03,NV,6,1243,32.2,-28.5,30.5,-26.8,0
3.7,33,2016,01,04,NV,6,1243,34.0,-30.3,33.5,-29.8,0
3.8,34,2016,01,05,NV,6,1243,32.2,-28.4,33.5,-29.7,0
3.9,34,2016,01,06,NV,6,1243,31.0,-27.1,32.5,-28.6,0
4.0,29,2016,01,07,NV,6,1243,34.8,-30.8,36.0,-32.0,0
4.0,27,2016,01,08,NV,6,1243,35.7,-31.7,35.5,-31.5,0
4.0,22,2016,01,09,NV,6,1243,34.8,-30.8,37.5,-33.5,0
4.0,21,2016,01,10,NV,6,1243,33.8,-29.8,35.5,-31.5,0
4.0,18,2016,01,11,NV,6,1243,32.7,-28.7,35.5,-31.5,0
4.0,24,2016,01,12,NV,6,1243,30.0,-26.0,29.5,-25.5,0
4.0,32,2016,01,13,NV,6,1243,29.2,-25.2,31.0,-27.0,0
4.0,28,2016,01,14,NV,6,1243,28.6,-24.6,28.0,-24.0,0
4.5,29,2016,01,15,NV,6,1243,32.2,-27.7,31.5,-27.0,0
4.8,33,2016,01,16,NV,6,1243,33.3,-28.5,36.5,-31.7,0
4.8,37,2016,01,17,NV,6,1243,34.5,-29.7,37.5,-32.7,0
4.8,35,2016,01,18,NV,6,1243,37.7,-32.9,37.0,-32.2,0
5.0,31,2016,01,19,NV,6,1243,35.7,-30.7,35.5,-30.5,0
5.0,31,2016,01,20,NV,6,1243,31.7,-26.7,30.5,-25.5,0
4.9,29,2016,01,21,NV,6,1243,29.7,-24.8,28.5,-23.6,0
4.9,34,2016,01,22,NV,6,1243,30.5,-25.6,31.0,-26.1,0
4.9,35,2016,01,23,NV,6,1243,32.3,-27.4,33.0,-28.1,0
4.9,30,2016,01,24,NV,6,1243,32.3,-27.4,33.5,-28.6,0
5.0,28,2016,01,25,NV,6,1243,32.0,-27.0,32.0,-27.0,0
5.0,24,2016,01,26,NV,6,1243,32.3,-27.3,31.5,-26.5,0
4.9,26,2016,01,27,NV,6,1243,32.7,-27.8,35.5,-30.6,0
4.8,33,2016,01,28,NV,6,1243,34.2,-29.4,36.5,-31.7,0
4.8,41,2016,01,29,NV,6,1243,36.2,-31.4,39.0,-34.2,0
5.2,27,2016,01,30,NV,6,1243,35.2,-30.0,34.5,-29.3,0
5.4,23,2016,01,31,NV,6,1243,34.2,-28.8,35.0,-29.6,0
5.5,18,2016,02,01,NV,6,1243,33.5,-28.0,38.5,-33.0,0
5.5,19,2016,02,02,NV,6,1243,33.8,-28.3,37.5,-32.0,0
5.5,19,2016,02,03,NV,6,1243,33.7,-28.2,36.0,-30.5,0
5.5,27,2016,02,04,NV,6,1243,34.8,-29.3,35.5,-30.0,0
5.5,29,2016,02,05,NV,6,1243,34.2,-28.7,34.5,-29.0,0
5.5,34,2016,02,06,NV,6,1243,34.3,-28.8,34.5,-29.0,0
5.5,35,2016,02,07,NV,6,1243,36.0,-30.5,38.0,-32.5,0
5.5,37,2016,02,08,NV,6,1243,39.3,-33.8,41.5,-36.0,0
5.5,38,2016,02,09,NV,6,1243,39.2,-33.7,40.0,-34.5,0
5.5,40,2016,02,10,NV,6,1243,34.0,-28.5,36.0,-30.5,0
5.4,39,2016,02,11,NV,6,1243,33.2,-27.8,34.0,-28.6,0
5.1,41,2016,02,12,NV,6,1243,35.7,-30.6,36.5,-31.4,0
4.7,43,2016,02,13,NV,6,1243,37.7,-33.0,37.5,-32.8,0
4.5,40,2016,02,14,NV,6,1243,40.2,-35.7,38.5,-34.0,0
4.3,42,2016,02,15,NV,6,1243,37.6,-33.3,41.0,-36.7,0
3.6,44,2016,02,16,NV,6,1243,36.0,-32.4,40.0,-36.4,0
3.2,43,2016,02,17,NV,6,1243,36.4,-33.2,40.0,-36.8,0
3.0,34,2016,02,18,NV,6,1243,32.6,-29.6,34.0,-31.0,0
3.5,38,2016,02,19,NV,6,1243,28.4,-24.9,32.0,-28.5,0
3.5,37,2016,02,20,NV,6,1243,27.8,-24.3,30.0,-26.5,0
3.5,39,2016,02,21,NV,6,1243,29.2,-25.7,35.0,-31.5,0
3.5,33,2016,02,22,NV,6,1243,26.0,-22.5,26.0,-22.5,0
3.8,31,2016,02,23,NV,6,1243,27.2,-23.4,25.0,-21.2,0
3.8,37,2016,02,24,NV,6,1243,30.8,-27.0,34.0,-30.2,0
3.7,41,2016,02,25,NV,6,1243,35.2,-31.5,40.0,-36.3,0
3.3,45,2016,02,26,NV,6,1243,33.6,-30.3,32.0,-28.7,0
2.7,44,2016,02,27,NV,6,1243,33.2,-30.5,32.0,-29.3,0
2.1,45,2016,02,28,NV,6,1243,32.8,-30.7,30.0,-27.9,0
1.5,42,2016,02,29,NV,6,1243,42.0,-40.5,42.0,-40.5,0
0.4,34,2016,03,07,NV,6,1243,34.3,-33.9,33.5,-33.1,0
0.1,34,2016,03,08,NV,6,1243,37.0,-36.9,37.5,-37.4,0
0.3,34,2016,03,23,NV,6,1243,37.0,-36.7,36.5,-36.2,0
0.2,41,2016,03,24,NV,6,1243,37.3,-37.1,36.0,-35.8,0
0.5,30,2016,03,28,NV,6,1243,37.0,-36.5,36.0,-35.5,0
0.8,28,2016,03,29,NV,6,1243,36.8,-36.0,37.5,-36.7,0
2.5,33,2016,03,30,NV,6,1243,37.0,-34.5,34.0,-31.5,0
2.5,40,2016,03,31,NV,6,1243,40.5,-38.0,39.0,-36.5,0
2.2,42,2016,04,01,NV,6,1243,37.7,-35.5,41.0,-38.8,0
1.7,45,2016,04,02,NV,6,1243,38.7,-37.0,40.0,-38.3,0
1.1,50,2016,04,03,NV,6,1243,42.0,-40.9,41.0,-39.9,0
0.3,38,2016,04,23,NV,6,1243,37.0,-36.7,37.0,-36.7,0
1.0,41,2016,04,24,NV,6,1243,43.5,-42.5,43.5,-42.5,0
0.4,34,2016,04,25,NV,6,1243,37.0,-36.6,38.0,-37.6,0
1.6,37,2016,04,26,NV,6,1243,37.3,-35.7,37.0,-35.4,0
1.4,38,2016,04,27,NV,6,1243,36.0,-34.6,35.0,-33.6,0
0.9,40,2016,04,28,NV,6,1243,36.7,-35.8,36.0,-35.1,0
0.5,40,2016,04,29,NV,6,1243,41.0,-40.5,41.0,-40.5,0
3.6,29,2017,01,01,NV,6,1243,25.5,-21.9,24.0,-20.4,0
3.7,22,2017,01,02,NV,6,1243,26.5,-22.8,24.0,-20.3,0
4.0,27,2017,01,03,NV,6,1243,32.2,-28.2,30.5,-26.5,0
4.1,32,2017,01,04,NV,6,1243,34.0,-29.9,33.5,-29.4,0
4.3,14,2017,01,05,NV,6,1243,32.2,-27.9,33.5,-29.2,0
4.4,8,2017,01,06,NV,6,1243,31.0,-26.6,32.5,-28.1,0
4.5,24,2017,01,07,NV,6,1243,34.8,-30.3,36.0,-31.5,0
4.6,36,2017,01,08,NV,6,1243,35.7,-31.1,35.5,-30.9,0
4.8,36,2017,01,09,NV,6,1243,34.8,-30.0,37.5,-32.7,0
5.0,36,2017,01,10,NV,6,1243,33.8,-28.8,35.5,-30.5,0
5.2,32,2017,01,11,NV,6,1243,32.7,-27.5,35.5,-30.3,0
6.3,29,2017,01,12,NV,6,1243,30.0,-23.7,29.5,-23.2,0
6.5,30,2017,01,13,NV,6,1243,29.2,-22.7,31.0,-24.5,0
6.5,28,2017,01,14,NV,6,1243,28.6,-22.1,28.0,-21.5,0
6.5,20,2017,01,15,NV,6,1243,32.2,-25.7,31.5,-25.0,0
6.5,16,2017,01,16,NV,6,1243,33.3,-26.8,36.5,-30.0,0
6.5,17,2017,01,17,NV,6,1243,34.5,-28.0,37.5,-31.0,0
6.5,32,2017,01,18,NV,6,1243,37.7,-31.2,37.0,-30.5,0
6.5,31,2017,01,19,NV,6,1243,35.7,-29.2,35.5,-29.0,0
6.6,26,2017,01,20,NV,6,1243,31.7,-25.1,30.5,-23.9,0
7.0,29,2017,01,21,NV,6,1243,29.7,-22.7,28.5,-21.5,0
7.0,28,2017,01,22,NV,6,1243,30.5,-23.5,31.0,-24.0,0
7.2,26,2017,01,23,NV,6,1243,32.3,-25.1,33.0,-25.8,0
8.6,21,2017,01,24,NV,6,1243,32.3,-23.7,33.5,-24.9,0
8.7,21,2017,01,25,NV,6,1243,32.0,-23.3,32.0,-23.3,0
8.8,21,2017,01,26,NV,6,1243,32.3,-23.5,31.5,-22.7,0
8.9,20,2017,01,27,NV,6,1243,32.7,-23.8,35.5,-26.6,0
8.8,19,2017,01,28,NV,6,1243,34.2,-25.4,36.5,-27.7,0
8.8,26,2017,01,29,NV,6,1243,36.2,-27.4,39.0,-30.2,0
8.8,35,2017,01,30,NV,6,1243,35.2,-26.4,34.5,-25.7,0
8.8,43,2017,01,31,NV,6,1243,34.2,-25.4,35.0,-26.2,0
8.8,42,2017,02,01,NV,6,1243,33.5,-24.7,38.5,-29.7,0
8.8,37,2017,02,02,NV,6,1243,33.8,-25.0,37.5,-28.7,0
8.8,38,2017,02,03,NV,6,1243,33.7,-24.9,36.0,-27.2,0
8.8,39,2017,02,04,NV,6,1243,34.8,-26.0,35.5,-26.7,0
8.8,40,2017,02,05,NV,6,1243,34.2,-25.4,34.5,-25.7,0
8.8,40,2017,02,06,NV,6,1243,34.3,-25.5,34.5,-25.7,0
8.8,41,2017,02,07,NV,6,1243,36.0,-27.2,38.0,-29.2,0
8.0,44,2017,02,08,NV,6,1243,39.3,-31.3,41.5,-33.5,0
7.8,47,2017,02,09,NV,6,1243,39.2,-31.4,40.0,-32.2,0
7.6,39,2017,02,10,NV,6,1243,34.0,-26.4,36.0,-28.4,0
7.4,32,2017,02,11,NV,6,1243,33.2,-25.8,34.0,-26.6,0
7.3,32,2017,02,12,NV,6,1243,35.7,-28.4,36.5,-29.2,0
7.2,33,2017,02,13,NV,6,1243,37.7,-30.5,37.5,-30.3,0
7.2,37,2017,02,14,NV,6,1243,40.2,-33.0,38.5,-31.3,0
7.2,41,2017,02,15,NV,6,1243,37.6,-30.4,41.0,-33.8,0
7.2,43,2017,02,16,NV,6,1243,36.0,-28.8,40.0,-32.8,0
7.2,35,2017,02,17,NV,6,1243,36.4,-29.2,40.0,-32.8,0
7.0,37,2017,02,18,NV,6,1243,32.6,-25.6,34.0,-27.0,0
7.0,39,2017,02,19,NV,6,1243,28.4,-21.4,32.0,-25.0,0
6.7,39,2017,02,20,NV,6,1243,27.8,-21.1,30.0,-23.3,0
6.8,37,2017,02,21,NV,6,1243,29.2,-22.4,35.0,-28.2,0
7.2,26,2017,02,22,NV,6,1243,26.0,-18.8,26.0,-18.8,0
7.5,21,2017,02,23,NV,6,1243,27.2,-19.7,25.0,-17.5,0
7.6,18,2017,02,24,NV,6,1243,30.8,-23.2,34.0,-26.4,0
7.6,21,2017,02,25,NV,6,1243,35.2,-27.6,40.0,-32.4,0
7.6,24,2017,02,26,NV,6,1243,33.6,-26.0,32.0,-24.4,0
7.9,24,2017,02,27,NV,6,1243,33.2,-25.3,32.0,-24.1,0
8.1,25,2017,02,28,NV,6,1243,32.8,-24.7,30.0,-21.9,0
8.1,30,2017,03,01,NV,6,1243,32.8,-24.7,33.0,-24.9,0
8.1,35,2017,03,02,NV,6,1243,30.8,-22.7,30.5,-22.4,0
8.1,40,2017,03,03,NV,6,1243,30.3,-22.2,28.5,-20.4,0
8.1,42,2017,03,04,NV,6,1243,32.0,-23.9,31.0,-22.9,0
8.1,29,2017,03,05,NV,6,1243,31.0,-22.9,32.5,-24.4,0
8.3,23,2017,03,06,NV,6,1243,32.5,-24.2,32.0,-23.7,0
8.3,33,2017,03,07,NV,6,1243,34.3,-26.0,33.5,-25.2,0
8.2,43,2017,03,08,NV,6,1243,37.0,-28.8,37.5,-29.3,0
7.4,46,2017,03,09,NV,6,1243,38.7,-31.3,41.0,-33.6,0
6.4,47,2017,03,10,NV,6,1243,38.3,-31.9,39.0,-32.6,0
5.8,46,2017,03,11,NV,6,1243,40.0,-34.2,42.0,-36.2,0
5.4,47,2017,03,12,NV,6,1243,41.0,-35.6,44.0,-38.6,0
4.9,52,2017,03,13,NV,6,1243,40.7,-35.8,47.0,-42.1,0
4.1,52,2017,03,14,NV,6,1243,37.7,-33.6,35.0,-30.9,0
3.4,52,2017,03,15,NV,6,1243,37.3,-33.9,31.0,-27.6,0
2.6,51,2017,03,16,NV,6,1243,40.7,-38.1,38.0,-35.4,0
1.5,53,2017,03,17,NV,6,1243,40.3,-38.8,41.0,-39.5,0
0.7,54,2017,03,18,NV,6,1243,41.0,-40.3,42.0,-41.3,0
0.2,51,2017,03,19,NV,6,1243,41.3,-41.1,42.0,-41.8,0
0.4,36,2017,03,23,NV,6,1243,37.0,-36.6,36.5,-36.1,0
0.6,36,2017,03,28,NV,6,1243,37.0,-36.4,36.0,-35.4,0
0.4,33,2017,04,09,NV,6,1243,41.0,-40.6,38.0,-37.6,0
0.5,33,2017,04,14,NV,6,1243,41.8,-41.3,44.0,-43.5,0
0.4,38,2017,04,25,NV,6,1243,37.0,-36.6,38.0,-37.6,0
0.2,40,2017,04,26,NV,6,1243,37.3,-37.1,37.0,-36.8,0
0.2,35,2017,04,27,NV,6,1243,36.0,-35.8,35.0,-34.8,0
0.1,34,2017,04,28,NV,6,1243,36.7,-36.6,36.0,-35.9,0
0.1,42,2017,05,16,NV,6,1243,42.0,-41.9,42.0,-41.9,0
0.7,31,2017,05,17,NV,6,1243,31.0,-30.3,31.0,-30.3,0
1.2,39,2017,05,18,NV,6,1243,39.0,-37.8,39.0,-37.8,0
0.4,46,2017,05,19,NV,6,1243,46.0,-45.6,46.0,-45.6,0
1.4,42,2018,01,01,NV,6,1243,25.5,-24.1,24.0,-22.6,0
1.4,40,2018,01,02,NV,6,1243,26.5,-25.1,24.0,-22.6,0
1.3,38,2018,01,03,NV,6,1243,32.2,-30.9,30.5,-29.2,0
1.2,41,2018,01,04,NV,6,1243,34.0,-32.8,33.5,-32.3,0
1.1,42,2018,01,05,NV,6,1243,32.2,-31.1,33.5,-32.4,0
1.1,37,2018,01,06,NV,6,1243,31.0,-29.9,32.5,-31.4,0
1.5,37,2018,01,07,NV,6,1243,34.8,-33.3,36.0,-34.5,0
1.5,39,2018,01,08,NV,6,1243,35.7,-34.2,35.5,-34.0,0
1.4,39,2018,01,09,NV,6,1243,34.8,-33.4,37.5,-36.1,0
1.1,35,2018,01,10,NV,6,1243,33.8,-32.7,35.5,-34.4,0
1.4,39,2018,01,11,NV,6,1243,32.7,-31.3,35.5,-34.1,0
1.3,39,2018,01,12,NV,6,1243,30.0,-28.7,29.5,-28.2,0
